customer_id,customer_name,email,region,segment,created_at,source_updated_at
49,Customer 0049,customer0049@example.com,South,SMB,2025-08-18,2026-09-02T17:22:00
50,Customer 0050,customer0050@example.com,West,Mid-Market,2025-09-04,2026-09-02T16:28:00
51,Customer 0051,customer0051@example.com,West,Mid-Market,2025-09-10,2026-09-02T17:03:00
52,Customer 0052,customer0052@example.com,South,SMB,2024-04-06,2026-09-02T15:16:00
53,Customer 0053,customer0053@example.com,South,Enterprise,2025-01-15,2026-09-02T17:05:00
54,Customer 0054,customer0054@example.com,Central,SMB,2026-06-02,2026-09-02T15:30:00
55,Customer 0055,customer0055@example.com,East,Enterprise,2026-05-28,2026-09-02T17:07:00
56,Customer 0056,customer0056@example.com,West,Mid-Market,2024-10-12,2026-09-02T17:01:00
57,Customer 0057,customer0057@example.com,South,Mid-Market,2025-10-06,2026-09-02T17:06:00
58,Customer 0058,customer0058@example.com,Central,Mid-Market,2026-01-30,2026-09-02T16:51:00
59,Customer 0059,customer0059@example.com,West,SMB,2024-07-19,2026-09-02T17:16:00
60,Customer 0060,customer0060@example.com,West,Mid-Market,2024-08-09,2026-09-02T16:38:00
61,Customer 0061,customer0061@example.com,Central,SMB,2024-09-06,2026-09-02T16:10:00
62,Customer 0062,customer0062@example.com,Central,SMB,2026-03-28,2026-09-02T15:24:00
63,Customer 0063,customer0063@example.com,East,SMB,2025-06-03,2026-09-02T16:11:00
64,Customer 0064,customer0064@example.com,Central,Mid-Market,2025-07-14,2026-09-02T16:38:00
65,Customer 0065,customer0065@example.com,South,Enterprise,2024-09-19,2026-09-02T17:18:00
66,Customer 0066,customer0066@example.com,East,Mid-Market,2024-08-29,2026-09-02T17:10:00
67,Customer 0067,customer0067@example.com,South,Enterprise,2025-02-09,2026-09-02T15:26:00
68,Customer 0068,customer0068@example.com,South,SMB,2025-03-18,2026-09-02T17:30:00
69,Customer 0069,customer0069@example.com,Central,Enterprise,2025-06-28,2026-09-02T17:54:00
70,Customer 0070,customer0070@example.com,West,SMB,2026-05-12,2026-09-02T17:17:00
71,Customer 0071,customer0071@example.com,East,SMB,2024-09-26,2026-09-02T16:51:00
72,Customer 0072,customer0072@example.com,East,SMB,2025-08-05,2026-09-02T17:44:00
73,Customer 0073,customer0073@example.com,East,Enterprise,2025-04-18,2026-09-02T16:37:00
74,Customer 0074,customer0074@example.com,East,Mid-Market,2025-09-20,2026-09-02T15:01:00
75,Customer 0075,customer0075@example.com,East,SMB,2024-01-02,2026-09-02T16:47:00
76,Customer 0076,customer0076@example.com,Central,Mid-Market,2026-05-18,2026-09-02T17:13:00
77,Customer 0077,customer0077@example.com,South,Enterprise,2025-01-30,2026-09-02T15:23:00
78,Customer 0078,customer0078@example.com,East,Mid-Market,2025-08-09,2026-09-02T15:48:00
79,Customer 0079,customer0079@example.com,East,Mid-Market,2024-11-22,2026-09-02T17:50:00
80,Customer 0080,customer0080@example.com,East,Mid-Market,2024-06-02,2026-09-02T16:25:00
81,Customer 0081,customer0081@example.com,South,SMB,2024-09-11,2026-09-02T17:24:00
82,Customer 0082,customer0082@example.com,West,SMB,2024-01-21,2026-09-02T15:25:00
83,Customer 0083,customer0083@example.com,South,SMB,2026-02-05,2026-09-02T15:26:00
84,Customer 0084,customer0084@example.com,East,Mid-Market,2025-06-11,2026-09-02T17:01:00
85,Customer 0085,customer0085@example.com,South,SMB,2025-03-02,2026-09-02T15:44:00
86,Customer 0086,customer0086@example.com,East,SMB,2024-04-17,2026-09-02T16:06:00
87,Customer 0087,customer0087@example.com,West,SMB,2025-10-13,2026-09-02T15:08:00
88,Customer 0088,customer0088@example.com,Central,Enterprise,2024-09-02,2026-09-02T17:55:00
89,Customer 0089,customer0089@example.com,East,Mid-Market,2024-08-11,2026-09-02T16:36:00
90,Customer 0090,customer0090@example.com,East,SMB,2025-07-18,2026-09-02T15:46:00
91,Customer 0091,customer0091@example.com,East,SMB,2025-11-10,2026-09-02T16:21:00
92,Customer 0092,customer0092@example.com,East,Enterprise,2026-04-05,2026-09-02T15:50:00
93,Customer 0093,customer0093@example.com,South,Mid-Market,2026-01-13,2026-09-02T16:32:00
94,Customer 0094,customer0094@example.com,East,SMB,2025-02-16,2026-09-02T15:57:00
95,Customer 0095,customer0095@example.com,East,SMB,2026-03-06,2026-09-02T16:55:00
96,Customer 0096,customer0096@example.com,Central,Mid-Market,2024-01-23,2026-09-02T17:17:00
97,Customer 0097,customer0097@example.com,Central,Enterprise,2024-07-08,2026-09-02T16:34:00
98,Customer 0098,customer0098@example.com,Central,Enterprise,2025-08-21,2026-09-02T16:02:00
99,Customer 0099,customer0099@example.com,South,SMB,2025-03-18,2026-09-02T17:25:00
100,Customer 0100,customer0100@example.com,South,SMB,2024-05-28,2026-09-02T17:16:00
101,Customer 0101,customer0101@example.com,East,SMB,2026-03-22,2026-09-02T15:56:00
102,Customer 0102,customer0102@example.com,South,Mid-Market,2024-03-22,2026-09-02T16:52:00
103,Customer 0103,customer0103@example.com,Central,Enterprise,2024-04-13,2026-09-02T15:52:00
104,Customer 0104,customer0104@example.com,Central,Mid-Market,2026-01-20,2026-09-02T15:05:00
105,Customer 0105,customer0105@example.com,South,Mid-Market,2025-02-21,2026-09-02T16:47:00
106,Customer 0106,customer0106@example.com,East,Mid-Market,2026-01-04,2026-09-02T15:40:00
107,Customer 0107,customer0107@example.com,East,SMB,2024-05-06,2026-09-02T16:24:00
108,Customer 0108,customer0108@example.com,Central,Mid-Market,2025-12-22,2026-09-02T17:23:00
109,Customer 0109,customer0109@example.com,Central,SMB,2024-12-15,2026-09-02T15:20:00
110,Customer 0110,customer0110@example.com,West,Mid-Market,2026-04-02,2026-09-02T17:12:00
111,Customer 0111,customer0111@example.com,South,SMB,2026-06-06,2026-09-02T15:44:00
112,Customer 0112,customer0112@example.com,South,Mid-Market,2024-10-23,2026-09-02T16:39:00
113,Customer 0113,customer0113@example.com,Central,Enterprise,2025-06-09,2026-09-02T16:12:00
114,Customer 0114,customer0114@example.com,West,Mid-Market,2025-04-30,2026-09-02T17:43:00
115,Customer 0115,customer0115@example.com,West,SMB,2026-05-16,2026-09-02T15:52:00
116,Customer 0116,customer0116@example.com,South,SMB,2025-04-27,2026-09-02T15:37:00
117,Customer 0117,customer0117@example.com,Central,Enterprise,2025-05-28,2026-09-02T15:14:00
118,Customer 0118,customer0118@example.com,Central,Mid-Market,2024-02-09,2026-09-02T15:37:00
119,Customer 0119,customer0119@example.com,West,Enterprise,2025-02-24,2026-09-02T16:52:00
120,Customer 0120,customer0120@example.com,South,SMB,2024-12-11,2026-09-02T16:50:00
121,Customer 0121,customer0121@example.com,West,Mid-Market,2025-09-18,2026-09-02T15:54:00
122,Customer 0122,customer0122@example.com,South,Mid-Market,2026-04-04,2026-09-02T16:23:00
123,Customer 0123,customer0123@example.com,East,Enterprise,2024-02-15,2026-09-02T15:54:00
124,Customer 0124,customer0124@example.com,West,Enterprise,2026-04-19,2026-09-02T15:31:00
125,Customer 0125,customer0125@example.com,West,Mid-Market,2025-01-01,2026-09-02T15:09:00
126,Customer 0126,customer0126@example.com,West,Mid-Market,2025-12-18,2026-09-02T17:49:00
127,Customer 0127,customer0127@example.com,East,Mid-Market,2024-04-15,2026-09-02T17:20:00
128,Customer 0128,customer0128@example.com,East,SMB,2024-01-19,2026-09-02T15:54:00
129,Customer 0129,customer0129@example.com,South,Mid-Market,2025-05-20,2026-09-02T17:05:00
130,Customer 0130,customer0130@example.com,Central,SMB,2024-12-24,2026-09-02T17:34:00
131,Customer 0131,customer0131@example.com,Central,Mid-Market,2026-02-18,2026-09-02T16:20:00
132,Customer 0132,customer0132@example.com,West,SMB,2026-01-05,2026-09-02T16:59:00
133,Customer 0133,customer0133@example.com,South,Enterprise,2024-05-02,2026-09-02T16:37:00
134,Customer 0134,customer0134@example.com,West,Enterprise,2025-10-22,2026-09-02T17:22:00
135,Customer 0135,customer0135@example.com,Central,SMB,2026-03-31,2026-09-02T17:33:00
136,Customer 0136,customer0136@example.com,South,SMB,2024-01-28,2026-09-02T17:14:00
137,Customer 0137,customer0137@example.com,South,Mid-Market,2025-08-26,2026-09-02T16:15:00
138,Customer 0138,customer0138@example.com,West,Enterprise,2025-04-12,2026-09-02T17:41:00
139,Customer 0139,customer0139@example.com,East,Mid-Market,2024-06-13,2026-09-02T15:05:00
140,Customer 0140,customer0140@example.com,South,Mid-Market,2024-03-18,2026-09-02T17:15:00
141,Customer 0141,customer0141@example.com,South,Enterprise,2024-07-24,2026-09-02T16:31:00
142,Customer 0142,customer0142@example.com,South,SMB,2026-06-01,2026-09-02T16:35:00
143,Customer 0143,customer0143@example.com,West,SMB,2025-01-09,2026-09-02T15:38:00
144,Customer 0144,customer0144@example.com,East,SMB,2024-09-28,2026-09-02T15:07:00
145,Customer 0145,customer0145@example.com,Central,Enterprise,2025-10-21,2026-09-02T17:16:00
146,Customer 0146,customer0146@example.com,Central,SMB,2024-03-28,2026-09-02T16:10:00
147,Customer 0147,customer0147@example.com,South,SMB,2024-01-23,2026-09-02T16:47:00
148,Customer 0148,customer0148@example.com,East,Mid-Market,2025-01-11,2026-09-02T17:50:00
149,Customer 0149,customer0149@example.com,East,Enterprise,2026-05-27,2026-09-02T15:45:00
150,Customer 0150,customer0150@example.com,Central,Mid-Market,2026-02-21,2026-09-02T17:32:00
151,Customer 0151,customer0151@example.com,East,Enterprise,2024-01-13,2026-09-02T17:17:00
152,Customer 0152,customer0152@example.com,Central,Enterprise,2025-11-05,2026-09-02T16:33:00
153,Customer 0153,customer0153@example.com,Central,SMB,2025-05-07,2026-09-02T15:25:00
154,Customer 0154,customer0154@example.com,Central,SMB,2025-01-11,2026-09-02T16:46:00
155,Customer 0155,customer0155@example.com,West,Mid-Market,2026-04-19,2026-09-02T16:10:00
156,Customer 0156,customer0156@example.com,West,SMB,2024-12-20,2026-09-02T16:58:00
157,Customer 0157,customer0157@example.com,South,SMB,2024-03-08,2026-09-02T15:02:00
158,Customer 0158,customer0158@example.com,West,SMB,2024-11-03,2026-09-02T16:27:00
159,Customer 0159,customer0159@example.com,South,Mid-Market,2024-05-03,2026-09-02T17:31:00
160,Customer 0160,customer0160@example.com,Central,Enterprise,2024-05-31,2026-09-02T15:12:00
161,Customer 0161,customer0161@example.com,West,SMB,2025-11-11,2026-09-02T17:32:00
162,Customer 0162,customer0162@example.com,East,SMB,2024-08-27,2026-09-02T15:15:00
163,Customer 0163,customer0163@example.com,South,Enterprise,2026-02-02,2026-09-02T15:16:00
164,Customer 0164,customer0164@example.com,East,SMB,2024-06-01,2026-09-02T15:30:00
165,Customer 0165,customer0165@example.com,East,Mid-Market,2024-02-07,2026-09-02T15:04:00
166,Customer 0166,customer0166@example.com,East,SMB,2024-12-10,2026-09-02T15:59:00
167,Customer 0167,customer0167@example.com,West,SMB,2024-11-02,2026-09-02T17:49:00
168,Customer 0168,customer0168@example.com,South,SMB,2024-04-20,2026-09-02T15:41:00
169,Customer 0169,customer0169@example.com,Central,Enterprise,2025-05-26,2026-09-02T16:31:00
170,Customer 0170,customer0170@example.com,Central,SMB,2026-01-07,2026-09-02T15:23:00
171,Customer 0171,customer0171@example.com,West,SMB,2026-02-03,2026-09-02T15:38:00
172,Customer 0172,customer0172@example.com,East,SMB,2025-04-26,2026-09-02T16:04:00
173,Customer 0173,customer0173@example.com,South,Mid-Market,2024-12-18,2026-09-02T17:25:00
174,Customer 0174,customer0174@example.com,South,Enterprise,2024-05-29,2026-09-02T16:09:00
175,Customer 0175,customer0175@example.com,South,Enterprise,2025-07-08,2026-09-02T15:28:00
176,Customer 0176,customer0176@example.com,East,SMB,2024-11-28,2026-09-02T15:16:00
177,Customer 0177,customer0177@example.com,South,Mid-Market,2025-01-06,2026-09-02T17:43:00
178,Customer 0178,customer0178@example.com,South,Mid-Market,2026-01-16,2026-09-02T15:39:00
179,Customer 0179,customer0179@example.com,East,Mid-Market,2026-03-28,2026-09-02T16:17:00
180,Customer 0180,customer0180@example.com,West,SMB,2025-11-24,2026-09-02T16:37:00
181,Customer 0181,customer0181@example.com,West,Mid-Market,2024-03-09,2026-09-02T16:37:00
182,Customer 0182,customer0182@example.com,South,SMB,2025-04-16,2026-09-02T17:04:00
183,Customer 0183,customer0183@example.com,South,SMB,2024-07-08,2026-09-02T17:43:00
184,Customer 0184,customer0184@example.com,West,Mid-Market,2024-05-14,2026-09-02T16:30:00
185,Customer 0185,customer0185@example.com,Central,Mid-Market,2026-04-14,2026-09-02T17:30:00
186,Customer 0186,customer0186@example.com,South,Mid-Market,2024-06-16,2026-09-02T17:18:00
187,Customer 0187,customer0187@example.com,Central,SMB,2025-01-06,2026-09-02T17:23:00
188,Customer 0188,customer0188@example.com,South,SMB,2025-06-10,2026-09-02T16:10:00
189,Customer 0189,customer0189@example.com,South,Enterprise,2026-06-03,2026-09-02T17:26:00
190,Customer 0190,customer0190@example.com,Central,SMB,2024-03-06,2026-09-02T16:53:00
191,Customer 0191,customer0191@example.com,East,Enterprise,2024-02-22,2026-09-02T15:10:00
192,Customer 0192,customer0192@example.com,East,Mid-Market,2024-11-18,2026-09-02T15:42:00
193,Customer 0193,customer0193@example.com,East,Enterprise,2024-06-04,2026-09-02T17:56:00
194,Customer 0194,customer0194@example.com,Central,SMB,2024-05-09,2026-09-02T17:55:00
195,Customer 0195,customer0195@example.com,South,Enterprise,2026-04-26,2026-09-02T16:29:00
196,Customer 0196,customer0196@example.com,West,Mid-Market,2025-05-22,2026-09-02T17:12:00
197,Customer 0197,customer0197@example.com,South,Mid-Market,2024-04-26,2026-09-02T15:46:00
198,Customer 0198,customer0198@example.com,South,SMB,2026-03-24,2026-09-02T16:55:00
199,Customer 0199,customer0199@example.com,West,Enterprise,2024-09-05,2026-09-02T17:36:00
200,Customer 0200,customer0200@example.com,South,SMB,2024-12-28,2026-09-02T17:37:00
201,Customer 0201,customer0201@example.com,East,Enterprise,2024-06-02,2026-09-02T16:32:00
202,Customer 0202,customer0202@example.com,Central,SMB,2025-07-09,2026-09-02T16:11:00
203,Customer 0203,customer0203@example.com,West,Mid-Market,2024-08-07,2026-09-02T15:40:00
204,Customer 0204,customer0204@example.com,South,Enterprise,2024-09-28,2026-09-02T16:53:00
205,Customer 0205,customer0205@example.com,Central,Mid-Market,2026-05-20,2026-09-02T15:50:00
206,Customer 0206,customer0206@example.com,East,Enterprise,2024-01-16,2026-09-02T16:54:00
207,Customer 0207,customer0207@example.com,East,Enterprise,2024-12-01,2026-09-02T17:26:00
208,Customer 0208,customer0208@example.com,West,Enterprise,2025-05-10,2026-09-02T16:24:00
209,Customer 0209,customer0209@example.com,East,SMB,2025-11-28,2026-09-02T16:42:00
210,Customer 0210,customer0210@example.com,East,SMB,2025-01-19,2026-09-02T16:55:00
211,Customer 0211,customer0211@example.com,West,Enterprise,2025-06-28,2026-09-02T17:02:00
212,Customer 0212,customer0212@example.com,West,Mid-Market,2026-03-30,2026-09-02T16:25:00
213,Customer 0213,customer0213@example.com,West,SMB,2026-01-30,2026-09-02T16:55:00
214,Customer 0214,customer0214@example.com,West,Mid-Market,2024-10-31,2026-09-02T16:38:00
215,Customer 0215,customer0215@example.com,West,SMB,2026-04-02,2026-09-02T17:18:00
216,Customer 0216,customer0216@example.com,East,SMB,2025-12-01,2026-09-02T15:45:00
217,Customer 0217,customer0217@example.com,West,Enterprise,2026-03-16,2026-09-02T17:01:00
218,Customer 0218,customer0218@example.com,East,Mid-Market,2024-07-01,2026-09-02T15:27:00
219,Customer 0219,customer0219@example.com,Central,Mid-Market,2024-04-07,2026-09-02T16:22:00
220,Customer 0220,customer0220@example.com,West,SMB,2025-01-14,2026-09-02T15:07:00
221,Customer 0221,customer0221@example.com,Central,Mid-Market,2025-08-08,2026-09-02T17:55:00
222,Customer 0222,customer0222@example.com,South,SMB,2024-02-20,2026-09-02T16:18:00
223,Customer 0223,customer0223@example.com,Central,SMB,2025-01-09,2026-09-02T16:39:00
224,Customer 0224,customer0224@example.com,East,SMB,2024-03-05,2026-09-02T15:50:00
225,Customer 0225,customer0225@example.com,South,SMB,2024-01-29,2026-09-02T17:10:00
226,Customer 0226,customer0226@example.com,Central,Mid-Market,2025-10-20,2026-09-02T16:09:00
227,Customer 0227,customer0227@example.com,West,SMB,2025-09-30,2026-09-02T15:07:00
228,Customer 0228,customer0228@example.com,East,SMB,2024-11-07,2026-09-02T15:51:00
229,Customer 0229,customer0229@example.com,Central,Enterprise,2025-09-25,2026-09-02T15:47:00
230,Customer 0230,customer0230@example.com,West,Enterprise,2026-03-29,2026-09-02T17:11:00
231,Customer 0231,customer0231@example.com,Central,Enterprise,2026-05-06,2026-09-02T17:39:00
232,Customer 0232,customer0232@example.com,South,Mid-Market,2025-01-09,2026-09-02T17:27:00
233,Customer 0233,customer0233@example.com,Central,Mid-Market,2025-05-16,2026-09-02T17:07:00
234,Customer 0234,customer0234@example.com,Central,SMB,2025-03-12,2026-09-02T17:38:00
235,Customer 0235,customer0235@example.com,South,SMB,2026-06-06,2026-09-02T15:13:00
236,Customer 0236,customer0236@example.com,South,SMB,2026-01-11,2026-09-02T16:17:00
237,Customer 0237,customer0237@example.com,West,SMB,2025-08-29,2026-09-02T15:37:00
238,Customer 0238,customer0238@example.com,Central,Mid-Market,2024-07-17,2026-09-02T16:12:00
239,Customer 0239,customer0239@example.com,Central,SMB,2026-02-20,2026-09-02T17:32:00
240,Customer 0240,customer0240@example.com,Central,Mid-Market,2024-01-20,2026-09-02T16:17:00
241,Customer 0241,customer0241@example.com,Central,SMB,2026-05-02,2026-09-02T17:38:00
242,Customer 0242,customer0242@example.com,Central,SMB,2024-10-20,2026-09-02T17:26:00
243,Customer 0243,customer0243@example.com,West,Enterprise,2026-05-06,2026-09-02T15:14:00
244,Customer 0244,customer0244@example.com,Central,SMB,2024-08-10,2026-09-02T16:52:00
245,Customer 0245,customer0245@example.com,South,SMB,2024-06-24,2026-09-02T17:14:00
246,Customer 0246,customer0246@example.com,Central,SMB,2025-03-03,2026-09-02T16:17:00
247,Customer 0247,customer0247@example.com,South,Enterprise,2024-12-27,2026-09-02T17:09:00
248,Customer 0248,customer0248@example.com,West,Mid-Market,2024-03-05,2026-09-02T17:59:00
249,Customer 0249,customer0249@example.com,Central,Enterprise,2025-10-16,2026-09-02T16:15:00
250,Customer 0250,customer0250@example.com,West,Enterprise,2025-09-25,2026-09-02T15:58:00
251,Customer 0251,customer0251@example.com,Central,SMB,2024-08-09,2026-09-02T16:30:00
252,Customer 0252,customer0252@example.com,West,Mid-Market,2025-12-05,2026-09-02T17:50:00
253,Customer 0253,customer0253@example.com,West,Mid-Market,2024-07-08,2026-09-02T17:25:00
254,Customer 0254,customer0254@example.com,Central,Mid-Market,2024-09-12,2026-09-02T15:05:00
255,Customer 0255,customer0255@example.com,East,Mid-Market,2026-01-18,2026-09-02T16:27:00
256,Customer 0256,customer0256@example.com,Central,Mid-Market,2024-08-30,2026-09-02T16:12:00
257,Customer 0257,customer0257@example.com,East,Enterprise,2024-05-17,2026-09-02T15:44:00
258,Customer 0258,customer0258@example.com,Central,SMB,2024-06-21,2026-09-02T17:28:00
259,Customer 0259,customer0259@example.com,Central,Mid-Market,2026-02-23,2026-09-02T17:57:00
260,Customer 0260,customer0260@example.com,West,Enterprise,2026-01-08,2026-09-02T17:39:00
261,Customer 0261,customer0261@example.com,East,Mid-Market,2025-02-27,2026-09-02T15:11:00
262,Customer 0262,customer0262@example.com,West,Mid-Market,2025-12-08,2026-09-02T15:29:00
263,Customer 0263,customer0263@example.com,West,Mid-Market,2024-01-14,2026-09-02T15:53:00
264,Customer 0264,customer0264@example.com,West,Mid-Market,2025-05-23,2026-09-02T17:34:00
265,Customer 0265,customer0265@example.com,South,SMB,2026-03-02,2026-09-02T17:10:00
266,Customer 0266,customer0266@example.com,West,Mid-Market,2024-06-09,2026-09-02T16:32:00
267,Customer 0267,customer0267@example.com,East,Mid-Market,2025-08-10,2026-09-02T15:00:00
268,Customer 0268,customer0268@example.com,West,SMB,2025-11-12,2026-09-02T17:20:00
269,Customer 0269,customer0269@example.com,East,Mid-Market,2025-10-24,2026-09-02T16:41:00
270,Customer 0270,customer0270@example.com,West,Enterprise,2024-11-10,2026-09-02T15:31:00
271,Customer 0271,customer0271@example.com,South,Enterprise,2025-03-14,2026-09-02T17:22:00
272,Customer 0272,customer0272@example.com,South,SMB,2025-08-17,2026-09-02T16:04:00
273,Customer 0273,customer0273@example.com,West,Mid-Market,2025-06-15,2026-09-02T17:33:00
274,Customer 0274,customer0274@example.com,East,Enterprise,2024-12-03,2026-09-02T15:16:00
275,Customer 0275,customer0275@example.com,Central,Mid-Market,2026-02-01,2026-09-02T17:21:00
276,Customer 0276,customer0276@example.com,West,SMB,2025-07-03,2026-09-02T17:46:00
277,Customer 0277,customer0277@example.com,South,Mid-Market,2025-11-22,2026-09-02T16:47:00
278,Customer 0278,customer0278@example.com,Central,SMB,2024-11-27,2026-09-02T16:14:00
279,Customer 0279,customer0279@example.com,West,Enterprise,2026-04-27,2026-09-02T16:59:00
280,Customer 0280,customer0280@example.com,Central,SMB,2025-10-01,2026-09-02T15:09:00
281,Customer 0281,customer0281@example.com,East,SMB,2024-07-03,2026-09-02T17:38:00
282,Customer 0282,customer0282@example.com,West,SMB,2025-02-09,2026-09-02T15:13:00
283,Customer 0283,customer0283@example.com,South,Mid-Market,2024-02-15,2026-09-02T15:09:00
284,Customer 0284,customer0284@example.com,Central,SMB,2026-04-02,2026-09-02T15:01:00
285,Customer 0285,customer0285@example.com,South,Mid-Market,2025-07-19,2026-09-02T16:37:00
286,Customer 0286,customer0286@example.com,East,SMB,2024-06-09,2026-09-02T16:25:00
287,Customer 0287,customer0287@example.com,East,SMB,2026-05-30,2026-09-02T16:51:00
288,Customer 0288,customer0288@example.com,East,Enterprise,2025-02-13,2026-09-02T17:13:00
289,Customer 0289,customer0289@example.com,South,Mid-Market,2026-03-21,2026-09-02T16:04:00
290,Customer 0290,customer0290@example.com,Central,SMB,2026-02-23,2026-09-02T17:24:00
291,Customer 0291,customer0291@example.com,West,Mid-Market,2024-03-11,2026-09-02T15:55:00
292,Customer 0292,customer0292@example.com,South,SMB,2024-08-14,2026-09-02T17:41:00
293,Customer 0293,customer0293@example.com,East,SMB,2024-01-09,2026-09-02T15:35:00
294,Customer 0294,customer0294@example.com,South,Mid-Market,2025-08-21,2026-09-02T16:53:00
295,Customer 0295,customer0295@example.com,West,SMB,2024-12-20,2026-09-02T16:15:00
296,Customer 0296,customer0296@example.com,West,SMB,2026-02-21,2026-09-02T17:03:00
297,Customer 0297,customer0297@example.com,Central,Mid-Market,2025-08-29,2026-09-02T16:15:00
298,Customer 0298,customer0298@example.com,West,Mid-Market,2025-02-05,2026-09-02T15:43:00
299,Customer 0299,customer0299@example.com,West,Mid-Market,2026-05-24,2026-09-02T15:29:00
300,Customer 0300,customer0300@example.com,South,Mid-Market,2024-05-26,2026-09-02T16:35:00
301,Customer 0301,customer0301@example.com,Central,SMB,2024-04-10,2026-09-02T15:41:00
302,Customer 0302,customer0302@example.com,West,Mid-Market,2025-07-29,2026-09-02T15:47:00
303,Customer 0303,customer0303@example.com,South,Mid-Market,2024-06-07,2026-09-02T15:20:00
304,Customer 0304,customer0304@example.com,East,SMB,2026-02-15,2026-09-02T15:29:00
